,Время,"Координаты Египта (широта, долгота)",Радиационное воздействие аэрозолей с излучением,Радиационное воздействие метана,Радиационное воздействие углекислого газа
882,2007-02-16 00:00:00,"30.00, 27.00",0.4632731974124908,0.2866733968257904,1.017209768295288
883,2007-02-16 00:00:00,"30.00, 30.00",0.551056981086731,0.3028793334960937,1.0891876220703125
884,2007-02-16 00:00:00,"30.00, 33.00",0.6624058485031128,0.3006373941898346,1.1052409410476685
885,2007-02-16 00:00:00,"27.00, 27.00",0.5490444898605347,0.3682583272457123,1.2885949611663818
886,2007-02-16 00:00:00,"27.00, 30.00",0.5251334309577942,0.3995633721351623,1.4077703952789309
887,2007-02-16 00:00:00,"27.00, 33.00",0.5604586005210876,0.4294084906578064,1.608662247657776
888,2007-02-16 00:00:00,"24.00, 27.00",0.3648202121257782,0.4505375325679779,1.636496901512146
889,2007-02-16 00:00:00,"24.00, 30.00",0.5728345513343811,0.4546432495117187,1.639468550682068
890,2007-02-16 00:00:00,"24.00, 33.00",0.6033663153648376,0.4790246188640594,1.7627203464508057
891,2007-02-16 00:00:00,"30.00, 27.00",-2.332273244857788,-0.1061442270874977,-0.0586637780070304
892,2007-02-16 00:00:00,"30.00, 30.00",-2.851859331130981,-0.1101458445191383,-0.0601828433573246
893,2007-02-16 00:00:00,"30.00, 33.00",-3.0731565952301025,-0.1075810045003891,-0.0592591427266597
894,2007-02-16 00:00:00,"27.00, 27.00",-1.985972046852112,-0.1125619038939476,-0.064462661743164
895,2007-02-16 00:00:00,"27.00, 30.00",-1.987187743186951,-0.1181267350912094,-0.0677514746785163
896,2007-02-16 00:00:00,"27.00, 33.00",-3.01145339012146,-0.1671807467937469,-0.0958976745605468
897,2007-02-16 00:00:00,"24.00, 27.00",-1.3974647521972656,-0.1330209523439407,-0.0784056559205055
898,2007-02-16 00:00:00,"24.00, 30.00",-2.367382526397705,-0.1420045644044876,-0.0829944610595703
899,2007-02-16 00:00:00,"24.00, 33.00",-3.2826902866363525,-0.1702815443277359,-0.0996992960572242
900,2007-03-16 00:00:00,"30.00, 27.00",1.4294079542160034,0.3620487451553345,1.301872968673706
901,2007-03-16 00:00:00,"30.00, 30.00",1.0286412239074707,0.3741957247257232,1.361250400543213
902,2007-03-16 00:00:00,"30.00, 33.00",0.8170530200004578,0.3434084057807922,1.291229248046875
903,2007-03-16 00:00:00,"27.00, 27.00",0.8469573259353638,0.4157547354698181,1.4469447135925293
904,2007-03-16 00:00:00,"27.00, 30.00",1.1480830907821655,0.440699428319931,1.5403560400009155
905,2007-03-16 00:00:00,"27.00, 33.00",0.8773675560951233,0.4510370194911957,1.687085509300232
906,2007-03-16 00:00:00,"24.00, 27.00",0.7205751538276672,0.4605978727340698,1.637451171875
907,2007-03-16 00:00:00,"24.00, 30.00",0.9250222444534302,0.4750395715236664,1.6878209114074707
908,2007-03-16 00:00:00,"24.00, 33.00",0.8662630915641785,0.4949606657028198,1.7993104457855225
909,2007-03-16 00:00:00,"30.00, 27.00",-4.372877597808838,-0.134605661034584,-0.07862189412117
910,2007-03-16 00:00:00,"30.00, 30.00",-3.9226677417755127,-0.1436747908592224,-0.0836947038769722
911,2007-03-16 00:00:00,"30.00, 33.00",-3.5373055934906006,-0.129114955663681,-0.0747505947947502
912,2007-03-16 00:00:00,"27.00, 27.00",-3.137117385864258,-0.1321551352739334,-0.0790144428610801
913,2007-03-16 00:00:00,"27.00, 30.00",-3.8265187740325928,-0.1347013860940933,-0.0800928920507431
914,2007-03-16 00:00:00,"27.00, 33.00",-4.819761753082275,-0.1813177317380905,-0.1078540459275245
915,2007-03-16 00:00:00,"24.00, 27.00",-2.6065924167633057,-0.14215087890625,-0.0872689560055732
