,Время,"Координаты Судана (широта, долгота)",Радиационное воздействие аэрозолей с излучением,Радиационное воздействие углекислого газа,Радиационное воздействие метана
7997,2016-04-16 00:00:00,"9.00, 30.00",-4.638565540313721,-0.1239715591073036,-0.1170389801263809
7998,2016-04-16 00:00:00,"9.00, 33.00",-3.6547110080718994,-0.1231374070048332,-0.1102813705801963
7999,2016-04-16 00:00:00,"9.00, 36.00",-3.619563341140747,-0.1035741195082664,-0.1147160828113555
8000,2016-05-16 00:00:00,"21.00, 24.00",0.3324683308601379,2.077787399291992,0.5142015218734741
8001,2016-05-16 00:00:00,"21.00, 27.00",0.466451346874237,2.007917881011963,0.5077593326568604
8002,2016-05-16 00:00:00,"21.00, 30.00",0.565673828125,2.1168863773345947,0.5317884683609009
8003,2016-05-16 00:00:00,"21.00, 33.00",0.6877421736717224,2.188748359680176,0.5097410082817078
8004,2016-05-16 00:00:00,"21.00, 36.00",0.4972327351570129,2.039579391479492,0.4130278527736664
8005,2016-05-16 00:00:00,"18.00, 24.00",0.2478362023830413,2.081122636795044,0.5317717790603638
8006,2016-05-16 00:00:00,"18.00, 27.00",0.3202081620693207,2.1068379878997803,0.5269607901573181
8007,2016-05-16 00:00:00,"18.00, 30.00",0.3932121098041534,2.122652053833008,0.5212008357048035
8008,2016-05-16 00:00:00,"18.00, 33.00",0.4017737507820129,2.087710380554199,0.4798219799995422
8009,2016-05-16 00:00:00,"18.00, 36.00",0.3850983679294586,1.941811800003052,0.3902981579303741
8010,2016-05-16 00:00:00,"15.00, 24.00",0.2521933317184448,1.9218956232070925,0.4536004960536957
8011,2016-05-16 00:00:00,"15.00, 27.00",0.3009860217571258,1.9160068035125728,0.4704353511333465
8012,2016-05-16 00:00:00,"15.00, 30.00",0.3358803987503052,1.8581424951553345,0.4291903674602508
8013,2016-05-16 00:00:00,"15.00, 33.00",0.4933304190635681,1.639258623123169,0.3425460457801819
8014,2016-05-16 00:00:00,"15.00, 36.00",0.3170717358589172,1.3555957078933716,0.2039115726947784
8015,2016-05-16 00:00:00,"12.00, 24.00",0.2414619624614715,1.3881491422653198,0.2423774898052215
8016,2016-05-16 00:00:00,"12.00, 27.00",0.2651288509368896,1.2463732957839966,0.196253627538681
8017,2016-05-16 00:00:00,"12.00, 30.00",0.2061423063278198,1.0244415998458862,0.1224217563867569
8018,2016-05-16 00:00:00,"12.00, 33.00",0.1836538016796112,0.7130776643753052,0.0285920165479183
8019,2016-05-16 00:00:00,"12.00, 36.00",0.1569017022848129,0.6510432958602905,0.0369498953223228
8020,2016-05-16 00:00:00,"9.00, 24.00",0.1242045760154724,0.6534758806228638,0.0372737757861614
8021,2016-05-16 00:00:00,"9.00, 27.00",0.1198809221386909,0.6259775757789612,0.0010631930781528
8022,2016-05-16 00:00:00,"9.00, 30.00",0.1198395788669586,0.4715398848056793,-0.0188450962305068
8023,2016-05-16 00:00:00,"9.00, 33.00",0.1437466591596603,0.4585728943347931,-0.0118477111682295
8024,2016-05-16 00:00:00,"9.00, 36.00",0.1330280900001526,0.3777643144130707,0.0398913957178592
